SUID,tf,interaction,target,confidence_score
6113,STAT,negative_KC,CMTM7,-1.52794485
6114,STAT,positive_KC,CPD,1.893940776
6115,STAT,positive_KC,CPM,1.893883759
6116,STAT,positive_KC,CREM,1.773056332
6117,STAT,positive_KC,CRIP1,1.585386079
6118,STAT,positive_KC,CRISPLD2,1.799195053
6119,STAT,positive_KC,CTLA4,1.966484352
6120,STAT,negative_KC,CTSW,-1.858513481
6121,STAT,positive_KC,CXCR3,1.573567726
6122,STAT,positive_KC,CYFIP2,1.843212557
6123,STAT,positive_KC,CYP11A1,1.7596343
6124,STAT,positive_KC,CYTH4,1.976210242
6125,STAT,positive_KC,CYTIP,1.909861015
6126,STAT,positive_KC,D16ERTD472E,1.854195219
6127,STAT,positive_KC,D18ERTD653E,1.878707342
6128,STAT,positive_KC,D6MM5E,1.718745618
6129,STAT,positive_KC,DCTN4,1.522657895
6130,STAT,positive_KC,DDIT3,1.878388773
6131,STAT,positive_KC,DDIT4,1.727500462
6132,STAT,positive_KC,DDR1,1.882574379
6133,STAT,positive_KC,DDT,1.66775026
6134,STAT,positive_KC,DENND5A,1.682657334
6135,STAT,positive_KC,DGAT1,1.867067929
6136,STAT,negative_KC,DHX58,-1.578476323
6137,STAT,positive_KC,DNAJB14,1.804649841
6138,STAT,positive_KC,DNAJB5,1.783146646
6139,STAT,negative_KC,DNMT3A,-1.575481855
6140,STAT,negative_KC,DOCK10,-1.586606648
6141,STAT,positive_KC,DOK2,1.536127322
6142,STAT,positive_KC,DPY19L3,1.965326606
6143,STAT,positive_KC,DPYSL2,1.705012931
6144,STAT,positive_KC,DUSP16,1.719320152
6145,STAT,negative_KC,DUSP5,-1.817610952
6146,STAT,positive_KC,DUSP6,1.646299951
6147,STAT,positive_KC,EFEMP2,1.909841407
6148,STAT,positive_KC,EGLN3,1.590968973
6149,STAT,positive_KC,EGR2,1.840802011
6150,STAT,positive_KC,EHBP1L1,1.651494168
6151,STAT,positive_KC,EHD2,1.78638284
6152,STAT,positive_KC,EHD4,1.918700932
6153,STAT,positive_KC,ELK3,1.677860492
6154,STAT,positive_KC,ELOVL6,1.688413536
6155,STAT,positive_KC,EMB,1.971512681
6156,STAT,positive_KC,EMP1,1.811521138
6157,STAT,negative_KC,ENO3,-1.955643334
6158,STAT,positive_KC,ESPN,1.956672681
6159,STAT,positive_KC,ETV6,1.990250979
6160,STAT,positive_KC,EVL,1.829499299
6161,STAT,positive_KC,EXT1,1.94232368
6162,STAT,positive_KC,FAM100B,1.836841065
6163,STAT,positive_KC,FAM102A,1.789060277
6164,STAT,positive_KC,FAM107B,1.890962245
6165,STAT,positive_KC,FAM113B,1.590760632
6166,STAT,positive_KC,FAM129B,1.90669637
6167,STAT,positive_KC,FAM55C,1.680805737
6168,STAT,positive_KC,FARP1,1.520339391
6169,STAT,negative_KC,FCRL1,-1.74742284
6170,STAT,positive_KC,FES,1.62223661
6171,STAT,positive_KC,FGD3,1.785086661
6172,STAT,positive_KC,FHL3,1.909214611
6173,STAT,positive_KC,FLOT1,1.956315993
6174,STAT,positive_KC,FLOT2,1.619290302
6175,STAT,positive_KC,FMNL1,1.841014215
6176,STAT,negative_KC,FOLR4,-1.81394017
6177,STAT,positive_KC,FOSL2,1.980125907
6178,STAT,positive_KC,FOXO1,1.759225173
6179,STAT,positive_KC,FRMD4B,1.905672694
6180,STAT,positive_KC,FRMD6,1.790448552
6181,STAT,positive_KC,FTH1,1.766260444
6182,STAT,positive_KC,FURIN,1.93196812
6183,STAT,positive_KC,FYCO1,1.715666263
6184,STAT,positive_KC,FZD7,1.538464816
6185,STAT,positive_KC,GABARAP,1.823220369
6186,STAT,positive_KC,GATSL2,1.680605339
6187,STAT,negative_KC,GBP10,-1.52866516
6188,STAT,negative_KC,GBP2,-1.744313961
6189,STAT,negative_KC,GBP4,-1.910556295
6190,STAT,negative_KC,GBP5,-1.842843009
6191,STAT,negative_KC,GBP6,-1.83534073
6192,STAT,negative_KC,GBP8,-1.948779212
6193,STAT,positive_KC,GCNT1,1.87108227
6194,STAT,positive_KC,GEM,1.718401442
6195,STAT,positive_KC,GGT7,1.548448207
6196,STAT,positive_KC,GIPR,1.685729474
6197,STAT,positive_KC,GLA,1.71835755
6198,STAT,positive_KC,GLIPR2,1.90506423
6199,STAT,negative_KC,GM12250,-1.623394513
6200,STAT,negative_KC,GM13253,-1.551272051
6201,STAT,positive_KC,GM8369,1.949852138
6202,STAT,positive_KC,GMFG,1.932420724
6203,STAT,positive_KC,GNB5,1.591997828
